source,table_group,yield_class_old_units,page,age_years,top_height_ft,mean_bhqg_in,validation_note
fcbk016,Oak,80,208,20,31,2,
fcbk016,Oak,80,208,25,38,2.5,
fcbk016,Oak,80,208,30,44.5,3.5,
fcbk016,Oak,80,208,35,50.5,4.5,
fcbk016,Oak,80,208,40,56,5.5,
fcbk016,Oak,80,208,45,61,6.5,
fcbk016,Oak,80,208,50,65.5,7.5,
fcbk016,Oak,80,208,55,69.5,8,
fcbk016,Oak,80,208,60,73,8.5,
fcbk016,Oak,80,208,65,76,9.5,
fcbk016,Oak,80,208,70,79,10.5,
fcbk016,Oak,80,208,75,82,11.5,
fcbk016,Oak,80,208,80,84.5,12,
fcbk016,Oak,80,208,85,86.5,12.5,
fcbk016,Oak,80,208,90,88.5,13.5,
fcbk016,Oak,80,208,95,90,14.5,
fcbk016,Oak,80,208,100,91.5,15,
fcbk016,Oak,80,208,110,94,16.5,
fcbk016,Oak,80,208,120,96,17.25,please validate fractional BHQG
fcbk016,Oak,80,208,130,98,18.5,
fcbk016,Oak,80,208,140,99.5,19.5,
fcbk016,Oak,80,208,150,100.5,20.25,please validate fractional BHQG
fcbk016,Beech,100,210,20,35,2.5,
fcbk016,Beech,100,210,25,43,2.5,
fcbk016,Beech,100,210,30,51,3.5,
fcbk016,Beech,100,210,35,58.5,4.5,
fcbk016,Beech,100,210,40,64.5,5.5,
fcbk016,Beech,100,210,45,69.5,6.5,
fcbk016,Beech,100,210,50,74,7.5,
fcbk016,Beech,100,210,55,78,8.5,
fcbk016,Beech,100,210,60,82,9.5,
fcbk016,Beech,100,210,65,85.5,10.5,
fcbk016,Beech,100,210,70,88.5,11.5,
fcbk016,Beech,100,210,75,91.5,12.5,
fcbk016,Beech,100,210,80,94,13,
fcbk016,Beech,100,210,85,96,13.5,
fcbk016,Beech,100,210,90,98,14.5,
fcbk016,Beech,100,210,95,100,15.5,
fcbk016,Beech,100,210,100,101.5,16,
fcbk016,Beech,100,210,110,104.5,17.5,
fcbk016,Beech,100,210,120,106.5,19.5,
fcbk016,Beech,100,210,130,108.5,20.5,
fcbk016,Beech,100,210,140,110,21.75,please validate fractional BHQG
fcbk016,Beech,100,210,150,111,23,
fcbk016,SAB,120,214,10,28.5,2,
fcbk016,SAB,120,214,15,38,3.25,
fcbk016,SAB,120,214,20,46.5,5,
fcbk016,SAB,120,214,25,54,7,
fcbk016,SAB,120,214,30,60.5,8.75,
fcbk016,SAB,120,214,35,65,10.5,
fcbk016,SAB,120,214,40,69,12,
fcbk016,SAB,120,214,45,72,13,
fcbk016,SAB,120,214,50,74.5,14,
fcbk016,SAB,120,214,55,76.5,15,
fcbk016,SAB,120,214,60,78,15.5,
fcbk016,SAB,120,214,65,79.5,16.5,
fcbk016,SAB,120,214,70,80.5,17,
fcbk016,SAB,120,214,75,81.5,17.5,
fcbk016,SAB,120,214,80,82.5,18,
fcbk016,Poplar,160,218,5,28.5,4,
fcbk016,Poplar,160,218,10,52.5,7.5,
fcbk016,Poplar,160,218,15,72.5,10.5,
fcbk016,Poplar,160,218,20,89,12.5,
fcbk016,Poplar,160,218,25,102.5,14.5,
fcbk016,Poplar,160,218,30,112.5,16,
fcbk016,Poplar,160,218,35,120,17.25,
fcbk016,Poplar,160,218,40,125.5,18,
fcbk016,Poplar,160,218,45,129.5,18.5,
fcbk016,Poplar,160,218,50,132.5,19,
fcbk016,Poplar,160,218,55,135,19.5,
fcbk016,Poplar,160,218,60,136.5,19.75,please validate fractional BHQG
